kaithi,hindi
𑂄𑂔 𑂞𑂳𑂧 𑂎𑂰𑂢𑂰 𑂠𑂵𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,आज तुम खाना देख रहा हूँ
𑂍𑂪 𑂫𑂯 𑂎𑂰𑂢𑂰 𑂪𑂱𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,कल वह खाना लिख रहा हूँ
𑂔𑂪𑂹𑂠𑂲 𑂩𑂰𑂧 𑂎𑂰𑂢𑂰 𑂣𑂜 𑂩𑂯𑂰 𑂯𑂴𑂀,जल्दी राम खाना पढ़ रहा हूँ
𑂃𑂦𑂲 𑂮𑂲𑂞𑂰 𑂎𑂰𑂢𑂰 𑂣𑂜 𑂩𑂯𑂰 𑂯𑂴𑂀,अभी सीता खाना पढ़ रहा हूँ
𑂡𑂲𑂩𑂵 𑂞𑂳𑂧 𑂎𑂰𑂢𑂰 𑂣𑂜 𑂩𑂯𑂰 𑂯𑂴𑂀,धीरे तुम खाना पढ़ रहा हूँ
𑂍𑂪 𑂯𑂧 𑂮𑂹𑂍𑂴𑂪 𑂠𑂵𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,कल हम स्कूल देख रहा हूँ
𑂃𑂦𑂲 𑂩𑂰𑂧 𑂍𑂱𑂞𑂰𑂥 𑂣𑂜 𑂩𑂯𑂰 𑂯𑂴𑂀,अभी राम किताब पढ़ रहा हूँ
𑂃𑂦𑂲 𑂫𑂯 𑂎𑂰𑂢𑂰 𑂔𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,अभी वह खाना जा रहा हूँ
𑂄𑂔 𑂮𑂲𑂞𑂰 𑂍𑂱𑂞𑂰𑂥 𑂪𑂱𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,आज सीता किताब लिख रहा हूँ
𑂡𑂲𑂩𑂵 𑂫𑂯 𑂮𑂹𑂍𑂴𑂪 𑂣𑂜 𑂩𑂯𑂰 𑂯𑂴𑂀,धीरे वह स्कूल पढ़ रहा हूँ
𑂔𑂪𑂹𑂠𑂲 𑂮𑂲𑂞𑂰 𑂍𑂱𑂞𑂰𑂥 𑂎𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,जल्दी सीता किताब खा रहा हूँ
𑂍𑂪 𑂮𑂲𑂞𑂰 𑂍𑂱𑂞𑂰𑂥 𑂪𑂱𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,कल सीता किताब लिख रहा हूँ
𑂃𑂦𑂲 𑂯𑂧 𑂍𑂱𑂞𑂰𑂥 𑂪𑂱𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,अभी हम किताब लिख रहा हूँ
𑂄𑂔 𑂞𑂳𑂧 𑂎𑂰𑂢𑂰 𑂠𑂵𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,आज तुम खाना देख रहा हूँ
𑂄𑂔 𑂧𑂶𑂁 𑂮𑂹𑂍𑂴𑂪 𑂣𑂜 𑂩𑂯𑂰 𑂯𑂴𑂀,आज मैं स्कूल पढ़ रहा हूँ
𑂍𑂪 𑂫𑂯 𑂮𑂹𑂍𑂴𑂪 𑂣𑂜 𑂩𑂯𑂰 𑂯𑂴𑂀,कल वह स्कूल पढ़ रहा हूँ
𑂃𑂦𑂲 𑂧𑂶𑂁 𑂍𑂱𑂞𑂰𑂥 𑂪𑂱𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,अभी मैं किताब लिख रहा हूँ
𑂡𑂲𑂩𑂵 𑂧𑂶𑂁 𑂍𑂱𑂞𑂰𑂥 𑂪𑂱𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,धीरे मैं किताब लिख रहा हूँ
𑂍𑂪 𑂞𑂳𑂧 𑂮𑂹𑂍𑂴𑂪 𑂔𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,कल तुम स्कूल जा रहा हूँ
𑂃𑂦𑂲 𑂞𑂳𑂧 𑂐𑂩 𑂪𑂱𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,अभी तुम घर लिख रहा हूँ
𑂔𑂪𑂹𑂠𑂲 𑂮𑂲𑂞𑂰 𑂮𑂹𑂍𑂴𑂪 𑂪𑂱𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,जल्दी सीता स्कूल लिख रहा हूँ
𑂔𑂪𑂹𑂠𑂲 𑂧𑂶𑂁 𑂍𑂱𑂞𑂰𑂥 𑂔𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,जल्दी मैं किताब जा रहा हूँ
𑂄𑂔 𑂧𑂶𑂁 𑂎𑂰𑂢𑂰 𑂣𑂜 𑂩𑂯𑂰 𑂯𑂴𑂀,आज मैं खाना पढ़ रहा हूँ
𑂄𑂔 𑂫𑂯 𑂍𑂱𑂞𑂰𑂥 𑂔𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,आज वह किताब जा रहा हूँ
𑂡𑂲𑂩𑂵 𑂯𑂧 𑂮𑂹𑂍𑂴𑂪 𑂪𑂱𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,धीरे हम स्कूल लिख रहा हूँ
𑂃𑂦𑂲 𑂧𑂶𑂁 𑂥𑂰𑂔𑂰𑂩 𑂪𑂱𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,अभी मैं बाजार लिख रहा हूँ
𑂍𑂪 𑂞𑂳𑂧 𑂥𑂰𑂔𑂰𑂩 𑂣𑂜 𑂩𑂯𑂰 𑂯𑂴𑂀,कल तुम बाजार पढ़ रहा हूँ
𑂃𑂦𑂲 𑂧𑂶𑂁 𑂥𑂰𑂔𑂰𑂩 𑂣𑂜 𑂩𑂯𑂰 𑂯𑂴𑂀,अभी मैं बाजार पढ़ रहा हूँ
𑂄𑂔 𑂫𑂯 𑂮𑂹𑂍𑂴𑂪 𑂔𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,आज वह स्कूल जा रहा हूँ
𑂄𑂔 𑂧𑂶𑂁 𑂥𑂰𑂔𑂰𑂩 𑂪𑂱𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,आज मैं बाजार लिख रहा हूँ
𑂃𑂦𑂲 𑂧𑂶𑂁 𑂮𑂹𑂍𑂴𑂪 𑂣𑂜 𑂩𑂯𑂰 𑂯𑂴𑂀,अभी मैं स्कूल पढ़ रहा हूँ
𑂃𑂦𑂲 𑂧𑂶𑂁 𑂥𑂰𑂔𑂰𑂩 𑂣𑂜 𑂩𑂯𑂰 𑂯𑂴𑂀,अभी मैं बाजार पढ़ रहा हूँ
𑂍𑂪 𑂫𑂯 𑂐𑂩 𑂪𑂱𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,कल वह घर लिख रहा हूँ
𑂃𑂦𑂲 𑂩𑂰𑂧 𑂮𑂹𑂍𑂴𑂪 𑂠𑂵𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,अभी राम स्कूल देख रहा हूँ
𑂍𑂪 𑂩𑂰𑂧 𑂍𑂱𑂞𑂰𑂥 𑂣𑂜 𑂩𑂯𑂰 𑂯𑂴𑂀,कल राम किताब पढ़ रहा हूँ
𑂃𑂦𑂲 𑂮𑂲𑂞𑂰 𑂍𑂱𑂞𑂰𑂥 𑂪𑂱𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,अभी सीता किताब लिख रहा हूँ
𑂄𑂔 𑂞𑂳𑂧 𑂮𑂹𑂍𑂴𑂪 𑂔𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,आज तुम स्कूल जा रहा हूँ
𑂍𑂪 𑂩𑂰𑂧 𑂍𑂱𑂞𑂰𑂥 𑂣𑂜 𑂩𑂯𑂰 𑂯𑂴𑂀,कल राम किताब पढ़ रहा हूँ
𑂃𑂦𑂲 𑂧𑂶𑂁 𑂥𑂰𑂔𑂰𑂩 𑂣𑂜 𑂩𑂯𑂰 𑂯𑂴𑂀,अभी मैं बाजार पढ़ रहा हूँ
𑂔𑂪𑂹𑂠𑂲 𑂫𑂯 𑂐𑂩 𑂔𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,जल्दी वह घर जा रहा हूँ
𑂄𑂔 𑂞𑂳𑂧 𑂐𑂩 𑂪𑂱𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,आज तुम घर लिख रहा हूँ
𑂃𑂦𑂲 𑂫𑂯 𑂥𑂰𑂔𑂰𑂩 𑂪𑂱𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,अभी वह बाजार लिख रहा हूँ
𑂃𑂦𑂲 𑂮𑂲𑂞𑂰 𑂮𑂹𑂍𑂴𑂪 𑂣𑂜 𑂩𑂯𑂰 𑂯𑂴𑂀,अभी सीता स्कूल पढ़ रहा हूँ
𑂄𑂔 𑂮𑂲𑂞𑂰 𑂮𑂹𑂍𑂴𑂪 𑂔𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,आज सीता स्कूल जा रहा हूँ
𑂃𑂦𑂲 𑂩𑂰𑂧 𑂎𑂰𑂢𑂰 𑂣𑂜 𑂩𑂯𑂰 𑂯𑂴𑂀,अभी राम खाना पढ़ रहा हूँ
𑂔𑂪𑂹𑂠𑂲 𑂞𑂳𑂧 𑂮𑂹𑂍𑂴𑂪 𑂔𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,जल्दी तुम स्कूल जा रहा हूँ
𑂔𑂪𑂹𑂠𑂲 𑂧𑂶𑂁 𑂐𑂩 𑂔𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,जल्दी मैं घर जा रहा हूँ
𑂄𑂔 𑂞𑂳𑂧 𑂮𑂹𑂍𑂴𑂪 𑂠𑂵𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,आज तुम स्कूल देख रहा हूँ
𑂡𑂲𑂩𑂵 𑂞𑂳𑂧 𑂥𑂰𑂔𑂰𑂩 𑂣𑂜 𑂩𑂯𑂰 𑂯𑂴𑂀,धीरे तुम बाजार पढ़ रहा हूँ
𑂔𑂪𑂹𑂠𑂲 𑂯𑂧 𑂎𑂰𑂢𑂰 𑂠𑂵𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,जल्दी हम खाना देख रहा हूँ
𑂍𑂪 𑂫𑂯 𑂮𑂹𑂍𑂴𑂪 𑂎𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,कल वह स्कूल खा रहा हूँ
𑂍𑂪 𑂞𑂳𑂧 𑂍𑂱𑂞𑂰𑂥 𑂎𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,कल तुम किताब खा रहा हूँ
𑂄𑂔 𑂮𑂲𑂞𑂰 𑂮𑂹𑂍𑂴𑂪 𑂔𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,आज सीता स्कूल जा रहा हूँ
𑂔𑂪𑂹𑂠𑂲 𑂧𑂶𑂁 𑂮𑂹𑂍𑂴𑂪 𑂎𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,जल्दी मैं स्कूल खा रहा हूँ
𑂍𑂪 𑂯𑂧 𑂍𑂱𑂞𑂰𑂥 𑂎𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,कल हम किताब खा रहा हूँ
𑂡𑂲𑂩𑂵 𑂞𑂳𑂧 𑂎𑂰𑂢𑂰 𑂠𑂵𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,धीरे तुम खाना देख रहा हूँ
𑂃𑂦𑂲 𑂞𑂳𑂧 𑂮𑂹𑂍𑂴𑂪 𑂪𑂱𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,अभी तुम स्कूल लिख रहा हूँ
𑂡𑂲𑂩𑂵 𑂞𑂳𑂧 𑂍𑂱𑂞𑂰𑂥 𑂠𑂵𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,धीरे तुम किताब देख रहा हूँ
𑂄𑂔 𑂫𑂯 𑂍𑂱𑂞𑂰𑂥 𑂠𑂵𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,आज वह किताब देख रहा हूँ
𑂡𑂲𑂩𑂵 𑂯𑂧 𑂐𑂩 𑂪𑂱𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,धीरे हम घर लिख रहा हूँ
𑂃𑂦𑂲 𑂧𑂶𑂁 𑂎𑂰𑂢𑂰 𑂎𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,अभी मैं खाना खा रहा हूँ
𑂔𑂪𑂹𑂠𑂲 𑂩𑂰𑂧 𑂐𑂩 𑂔𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,जल्दी राम घर जा रहा हूँ
𑂍𑂪 𑂞𑂳𑂧 𑂎𑂰𑂢𑂰 𑂎𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,कल तुम खाना खा रहा हूँ
𑂔𑂪𑂹𑂠𑂲 𑂫𑂯 𑂥𑂰𑂔𑂰𑂩 𑂣𑂜 𑂩𑂯𑂰 𑂯𑂴𑂀,जल्दी वह बाजार पढ़ रहा हूँ
𑂡𑂲𑂩𑂵 𑂞𑂳𑂧 𑂎𑂰𑂢𑂰 𑂔𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,धीरे तुम खाना जा रहा हूँ
𑂃𑂦𑂲 𑂧𑂶𑂁 𑂍𑂱𑂞𑂰𑂥 𑂠𑂵𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,अभी मैं किताब देख रहा हूँ
𑂍𑂪 𑂫𑂯 𑂮𑂹𑂍𑂴𑂪 𑂔𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,कल वह स्कूल जा रहा हूँ
𑂍𑂪 𑂩𑂰𑂧 𑂮𑂹𑂍𑂴𑂪 𑂠𑂵𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,कल राम स्कूल देख रहा हूँ
𑂡𑂲𑂩𑂵 𑂩𑂰𑂧 𑂍𑂱𑂞𑂰𑂥 𑂣𑂜 𑂩𑂯𑂰 𑂯𑂴𑂀,धीरे राम किताब पढ़ रहा हूँ
𑂄𑂔 𑂧𑂶𑂁 𑂍𑂱𑂞𑂰𑂥 𑂪𑂱𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,आज मैं किताब लिख रहा हूँ
𑂍𑂪 𑂯𑂧 𑂐𑂩 𑂣𑂜 𑂩𑂯𑂰 𑂯𑂴𑂀,कल हम घर पढ़ रहा हूँ
𑂃𑂦𑂲 𑂞𑂳𑂧 𑂮𑂹𑂍𑂴𑂪 𑂔𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,अभी तुम स्कूल जा रहा हूँ
𑂃𑂦𑂲 𑂩𑂰𑂧 𑂮𑂹𑂍𑂴𑂪 𑂪𑂱𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,अभी राम स्कूल लिख रहा हूँ
𑂃𑂦𑂲 𑂫𑂯 𑂐𑂩 𑂠𑂵𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,अभी वह घर देख रहा हूँ
𑂍𑂪 𑂯𑂧 𑂥𑂰𑂔𑂰𑂩 𑂔𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,कल हम बाजार जा रहा हूँ
𑂡𑂲𑂩𑂵 𑂞𑂳𑂧 𑂮𑂹𑂍𑂴𑂪 𑂔𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,धीरे तुम स्कूल जा रहा हूँ
𑂍𑂪 𑂮𑂲𑂞𑂰 𑂎𑂰𑂢𑂰 𑂎𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,कल सीता खाना खा रहा हूँ
𑂄𑂔 𑂮𑂲𑂞𑂰 𑂍𑂱𑂞𑂰𑂥 𑂠𑂵𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,आज सीता किताब देख रहा हूँ
𑂃𑂦𑂲 𑂞𑂳𑂧 𑂍𑂱𑂞𑂰𑂥 𑂠𑂵𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,अभी तुम किताब देख रहा हूँ
𑂡𑂲𑂩𑂵 𑂩𑂰𑂧 𑂎𑂰𑂢𑂰 𑂎𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,धीरे राम खाना खा रहा हूँ
𑂄𑂔 𑂩𑂰𑂧 𑂮𑂹𑂍𑂴𑂪 𑂔𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,आज राम स्कूल जा रहा हूँ
𑂄𑂔 𑂯𑂧 𑂐𑂩 𑂎𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,आज हम घर खा रहा हूँ
𑂔𑂪𑂹𑂠𑂲 𑂧𑂶𑂁 𑂮𑂹𑂍𑂴𑂪 𑂎𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,जल्दी मैं स्कूल खा रहा हूँ
𑂡𑂲𑂩𑂵 𑂫𑂯 𑂐𑂩 𑂠𑂵𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,धीरे वह घर देख रहा हूँ
𑂄𑂔 𑂯𑂧 𑂎𑂰𑂢𑂰 𑂔𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,आज हम खाना जा रहा हूँ
𑂍𑂪 𑂞𑂳𑂧 𑂎𑂰𑂢𑂰 𑂠𑂵𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,कल तुम खाना देख रहा हूँ
𑂍𑂪 𑂩𑂰𑂧 𑂮𑂹𑂍𑂴𑂪 𑂎𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,कल राम स्कूल खा रहा हूँ
𑂔𑂪𑂹𑂠𑂲 𑂩𑂰𑂧 𑂎𑂰𑂢𑂰 𑂠𑂵𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,जल्दी राम खाना देख रहा हूँ
𑂄𑂔 𑂮𑂲𑂞𑂰 𑂐𑂩 𑂣𑂜 𑂩𑂯𑂰 𑂯𑂴𑂀,आज सीता घर पढ़ रहा हूँ
𑂄𑂔 𑂞𑂳𑂧 𑂥𑂰𑂔𑂰𑂩 𑂣𑂜 𑂩𑂯𑂰 𑂯𑂴𑂀,आज तुम बाजार पढ़ रहा हूँ
𑂄𑂔 𑂩𑂰𑂧 𑂐𑂩 𑂔𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,आज राम घर जा रहा हूँ
𑂄𑂔 𑂩𑂰𑂧 𑂥𑂰𑂔𑂰𑂩 𑂔𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,आज राम बाजार जा रहा हूँ
𑂃𑂦𑂲 𑂯𑂧 𑂮𑂹𑂍𑂴𑂪 𑂔𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,अभी हम स्कूल जा रहा हूँ
𑂄𑂔 𑂩𑂰𑂧 𑂍𑂱𑂞𑂰𑂥 𑂠𑂵𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,आज राम किताब देख रहा हूँ
𑂄𑂔 𑂮𑂲𑂞𑂰 𑂥𑂰𑂔𑂰𑂩 𑂔𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,आज सीता बाजार जा रहा हूँ
𑂔𑂪𑂹𑂠𑂲 𑂯𑂧 𑂎𑂰𑂢𑂰 𑂎𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,जल्दी हम खाना खा रहा हूँ
𑂔𑂪𑂹𑂠𑂲 𑂩𑂰𑂧 𑂍𑂱𑂞𑂰𑂥 𑂔𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,जल्दी राम किताब जा रहा हूँ
𑂡𑂲𑂩𑂵 𑂧𑂶𑂁 𑂮𑂹𑂍𑂴𑂪 𑂔𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,धीरे मैं स्कूल जा रहा हूँ
𑂍𑂪 𑂯𑂧 𑂐𑂩 𑂔𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,कल हम घर जा रहा हूँ
𑂡𑂲𑂩𑂵 𑂧𑂶𑂁 𑂐𑂩 𑂠𑂵𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,धीरे मैं घर देख रहा हूँ
𑂄𑂔 𑂧𑂶𑂁 𑂮𑂹𑂍𑂴𑂪 𑂎𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,आज मैं स्कूल खा रहा हूँ
𑂄𑂔 𑂩𑂰𑂧 𑂮𑂹𑂍𑂴𑂪 𑂎𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,आज राम स्कूल खा रहा हूँ
𑂄𑂔 𑂧𑂶𑂁 𑂐𑂩 𑂎𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,आज मैं घर खा रहा हूँ
𑂔𑂪𑂹𑂠𑂲 𑂮𑂲𑂞𑂰 𑂥𑂰𑂔𑂰𑂩 𑂣𑂜 𑂩𑂯𑂰 𑂯𑂴𑂀,जल्दी सीता बाजार पढ़ रहा हूँ
𑂔𑂪𑂹𑂠𑂲 𑂯𑂧 𑂎𑂰𑂢𑂰 𑂎𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,जल्दी हम खाना खा रहा हूँ
𑂍𑂪 𑂮𑂲𑂞𑂰 𑂥𑂰𑂔𑂰𑂩 𑂪𑂱𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,कल सीता बाजार लिख रहा हूँ
𑂃𑂦𑂲 𑂯𑂧 𑂍𑂱𑂞𑂰𑂥 𑂣𑂜 𑂩𑂯𑂰 𑂯𑂴𑂀,अभी हम किताब पढ़ रहा हूँ
𑂍𑂪 𑂯𑂧 𑂍𑂱𑂞𑂰𑂥 𑂪𑂱𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,कल हम किताब लिख रहा हूँ
𑂍𑂪 𑂮𑂲𑂞𑂰 𑂥𑂰𑂔𑂰𑂩 𑂎𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,कल सीता बाजार खा रहा हूँ
𑂄𑂔 𑂫𑂯 𑂍𑂱𑂞𑂰𑂥 𑂪𑂱𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,आज वह किताब लिख रहा हूँ
𑂃𑂦𑂲 𑂩𑂰𑂧 𑂍𑂱𑂞𑂰𑂥 𑂣𑂜 𑂩𑂯𑂰 𑂯𑂴𑂀,अभी राम किताब पढ़ रहा हूँ
𑂄𑂔 𑂧𑂶𑂁 𑂮𑂹𑂍𑂴𑂪 𑂔𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,आज मैं स्कूल जा रहा हूँ
𑂃𑂦𑂲 𑂩𑂰𑂧 𑂮𑂹𑂍𑂴𑂪 𑂪𑂱𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,अभी राम स्कूल लिख रहा हूँ
𑂔𑂪𑂹𑂠𑂲 𑂯𑂧 𑂥𑂰𑂔𑂰𑂩 𑂪𑂱𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,जल्दी हम बाजार लिख रहा हूँ
𑂃𑂦𑂲 𑂞𑂳𑂧 𑂥𑂰𑂔𑂰𑂩 𑂔𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,अभी तुम बाजार जा रहा हूँ
𑂡𑂲𑂩𑂵 𑂮𑂲𑂞𑂰 𑂥𑂰𑂔𑂰𑂩 𑂣𑂜 𑂩𑂯𑂰 𑂯𑂴𑂀,धीरे सीता बाजार पढ़ रहा हूँ
𑂔𑂪𑂹𑂠𑂲 𑂧𑂶𑂁 𑂐𑂩 𑂔𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,जल्दी मैं घर जा रहा हूँ
𑂡𑂲𑂩𑂵 𑂫𑂯 𑂍𑂱𑂞𑂰𑂥 𑂪𑂱𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,धीरे वह किताब लिख रहा हूँ
𑂡𑂲𑂩𑂵 𑂧𑂶𑂁 𑂥𑂰𑂔𑂰𑂩 𑂔𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,धीरे मैं बाजार जा रहा हूँ
𑂍𑂪 𑂧𑂶𑂁 𑂎𑂰𑂢𑂰 𑂠𑂵𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,कल मैं खाना देख रहा हूँ
𑂡𑂲𑂩𑂵 𑂞𑂳𑂧 𑂮𑂹𑂍𑂴𑂪 𑂎𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,धीरे तुम स्कूल खा रहा हूँ
𑂄𑂔 𑂩𑂰𑂧 𑂐𑂩 𑂪𑂱𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,आज राम घर लिख रहा हूँ
𑂃𑂦𑂲 𑂫𑂯 𑂍𑂱𑂞𑂰𑂥 𑂪𑂱𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,अभी वह किताब लिख रहा हूँ
𑂍𑂪 𑂧𑂶𑂁 𑂮𑂹𑂍𑂴𑂪 𑂔𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,कल मैं स्कूल जा रहा हूँ
𑂔𑂪𑂹𑂠𑂲 𑂧𑂶𑂁 𑂮𑂹𑂍𑂴𑂪 𑂔𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,जल्दी मैं स्कूल जा रहा हूँ
